瘤痢疙,老矫,乞闭扁柯(∑C),弥历扁柯(∑C),弥绊扁柯(∑C),弥措 鉴埃 浅加(m/s),弥措 浅加(m/s),乞闭 浅加(m/s),乞闭 捞浇痢柯档(∑C),乞闭 刘扁拘(hPa),乞闭 泅瘤扁拘(hPa),乞闭 瘤搁柯档(∑C)
绊魂,2016-02-26,8.4,3,10.5,14.5,10.1,5.4,-0.3,6,1021.1,8.2
绊魂,2016-02-27,11.3,10.4,13.7,18.9,16.2,9.1,7.1,10.1,1016.1,12.1
绊魂,2016-02-28,10.9,5.3,14.6,22,17,8.3,5.8,9.3,1013.4,12.8
绊魂,2016-02-29,2.6,-0.4,5.5,29.5,22.1,16.2,-3.6,4.7,1018,4.8
绊魂,2016-03-01,3.1,0.6,6.2,18,11.4,6.3,-3.6,4.7,1020.1,7.7
绊魂,2016-03-02,7.7,1.5,11.3,8.5,5.7,3.2,1.2,6.7,1018.2,8.8
绊魂,2016-03-03,12.3,8.5,14.4,11.5,8.1,5.5,9.1,11.7,1015,10.8
绊魂,2016-03-04,15.1,13.7,17.6,11.6,8.1,6.3,12.9,14.9,1014.6,15.9
绊魂,2016-03-05,15.6,14.1,18.4,14.3,10.8,7.6,14.7,16.8,1011.2,15.8
绊魂,2016-03-06,11,8.9,14.5,13,9.7,3.9,9.3,11.8,1009.5,13.6
绊魂,2016-03-07,13.2,9.2,16.5,8.3,5.4,0.9,11.4,13.5,1009,13.4
绊魂,2016-03-08,9.5,5.6,13.4,21.3,14.8,6.5,6.1,9.6,1008.9,9.5
绊魂,2016-03-09,4.8,3.7,6.4,25.5,16.3,11.2,0.1,6.3,1010.9,6.2
绊魂,2016-03-10,3.4,2.5,4.4,20.5,13.6,11.4,-3.2,4.9,1015.7,5.1
绊魂,2016-03-11,4.1,2.8,6.4,19.7,13.6,9.3,-4.4,4.4,1016.3,6.8
绊魂,2016-03-12,5.2,1,8.8,14.3,8.2,2.7,-4.1,4.6,1015.6,7.5
绊魂,2016-03-13,7.5,5,10,5.5,2.9,0.7,4.2,8.3,1012.3,7.3
绊魂,2016-03-14,6.5,5.3,8.1,14,9.8,7.3,0.4,6.3,1012.7,6.1
绊魂,2016-03-15,8,3.8,12,11,8.4,4.4,1,6.6,1014.6,10.2
绊魂,2016-03-16,11.2,7,15.9,8.3,6.2,4.3,4.3,8.4,1012.9,14.2
绊魂,2016-03-17,14.2,9.3,18.1,11.8,8.2,4.7,8.7,11.6,1010.1,13.4
绊魂,2016-03-18,12.9,11.2,15.2,16,12.7,5.5,12.7,14.8,1001.8,14.5
绊魂,2016-03-19,10.1,8.8,11.6,16.9,13.5,8.6,7.3,10.2,1006.5,11
绊魂,2016-03-20,9.9,7.6,11.7,14.4,10.3,5.7,6.7,9.9,1011.9,12.5
绊魂,2016-03-21,11.5,8.8,15.8,9,5.5,2.5,5.4,9,1014.3,11.3
绊魂,2016-03-22,10.6,8.3,14.5,12.7,9.5,5.3,5.7,9.2,1011.4,14.5
绊魂,2016-03-23,8.3,6.6,11.2,23.7,16.8,10.1,3,7.7,1010.1,11.3
绊魂,2016-03-24,7.5,6.3,9.5,20,14.3,9.4,1,6.6,1014.6,11.3
绊魂,2016-03-25,7.4,5.9,9.8,15.7,10,6.9,0.9,6.5,1015.4,11.8
绊魂,2016-03-26,7.5,5.7,10.8,16.6,11.9,9.7,-1.1,5.7,1013.8,11.2
绊魂,2016-03-27,9.4,6.8,12.8,17.2,13.1,6.3,-0.8,5.8,1012.9,11.9
绊魂,2016-03-28,12.4,6.7,17.3,11.8,9.7,5.2,4.7,8.8,1014.9,15.6
绊魂,2016-03-29,13.6,12.2,15,14.6,10.8,8.5,7.8,10.7,1013.3,15
绊魂,2016-03-30,13.8,11.3,17.1,10.7,6.5,3.4,11.5,13.6,1011.2,18.6
绊魂,2016-03-31,12.8,11,14.5,8.6,7.2,4.2,11,13.1,1007.8,13.9
绊魂,2016-04-01,12.4,9.7,15.7,11.2,8.3,4.8,8.5,11.2,1007.3,17.7
绊魂,2016-04-02,15.7,11.9,19.3,13.5,10.3,4.8,10.8,13.2,1009.8,19
绊魂,2016-04-03,15.1,13.4,17,11.9,6.9,4,13.8,15.8,1005.4,15.6
绊魂,2016-04-04,12.3,10.9,13.9,15,10.3,5.8,11.2,13.3,1004.7,15.1
绊魂,2016-04-05,12.5,11.1,15.4,9.1,5.9,3.9,8.4,11.2,1008.1,16.4
绊魂,2016-04-06,14.9,10.6,17.4,19.2,14,7.1,13.1,15.3,1003.8,14.2
绊魂,2016-04-07,12.5,10.9,17.2,19.2,15.8,9.8,11.8,13.9,1000.9,14.4
绊魂,2016-04-08,11.4,10.3,13.3,11.5,8.5,4.7,10.3,12.5,1007.8,13.4
绊魂,2016-04-09,13.7,10.3,17.5,7.7,5.7,3.3,11.5,13.5,1006.2,17.2
绊魂,2016-04-10,13.7,10.8,18,9,5.3,3.3,10.2,12.5,1004.9,17.6
绊魂,2016-04-11,13.6,9.9,20.5,10.3,6.9,4.8,10.5,12.8,1009.2,17.6
绊魂,2016-04-12,15.5,9.9,20.4,14.9,10,6.1,11.5,13.9,1004.9,16.8
绊魂,2016-04-13,14.3,11.8,17.3,14,9.6,6.3,14,16,998.1,16.5
绊魂,2016-04-14,12.5,10.9,14.5,12.8,9,6.3,12,14,1004,16.5
绊魂,2016-04-15,15.5,10.2,20.8,13.4,8.7,5.6,8.9,11.5,1009.4,18
绊魂,2016-04-16,17.1,12.8,18.8,29.5,25.7,12.4,15.6,17.8,998.5,17
绊魂,2016-04-17,12.5,10.9,15,33.4,28,13.8,8.4,11.1,1004.2,16.6
绊魂,2016-04-18,13.2,10.6,17.9,13.3,10.5,5.7,7.9,10.7,1009.8,16.8
绊魂,2016-04-19,14.1,11.6,18.6,9.5,7.1,3.9,10.5,12.7,1014.9,19.8
绊魂,2016-04-20,15.7,10.9,19.4,17.7,11.7,7.6,12.2,14.3,1009,17.7
绊魂,2016-04-21,13.8,11.2,17.3,18.7,12.6,9.3,13.6,15.7,998.3,16.6
绊魂,2016-04-22,13.1,10.3,17.6,10.3,7.8,3.7,12.3,14.3,1003.2,18.7
绊魂,2016-04-23,14.8,13.7,17.6,12.5,8.6,3.1,13.7,15.7,1004.4,16.6
绊魂,2016-04-24,16.2,12.9,20.1,14.1,8.2,4.1,8.2,11.1,1005.6,19.1
绊魂,2016-04-25,16.1,11.1,19.8,7.6,4.9,2.8,8.3,11,1007.8,19.5
绊魂,2016-04-26,16.6,13.3,22.5,8.4,5,2.5,12,14.6,1004.7,17.9
绊魂,2016-04-27,15.3,13,18.1,16.9,11.2,4.1,13.4,15.4,994.9,17.2
绊魂,2016-04-28,13,12,14.3,13.5,10,5.4,11.8,13.8,999.8,15.3
绊魂,2016-04-29,13.8,11.7,16.9,10.3,8.1,5,10,12.3,1005.6,19
绊魂,2016-04-30,14.8,11.2,18.3,9.2,7.2,4.8,9.2,11.6,1006.6,19.9
绊魂,2016-05-01,17.3,13,21.1,11.2,8.1,6.7,12.7,15.1,1006.9,20.9
绊魂,2016-05-02,18.3,17.1,20.1,18.2,12.7,9.3,17.3,19.7,1003.1,18.6
绊魂,2016-05-03,15.9,13.7,18.1,23.2,19.9,12.8,13.6,15.8,995.2,18.7
绊魂,2016-05-04,16.9,14.6,19.8,17.6,15.5,9.7,12.4,14.4,1003.4,19.4
绊魂,2016-05-05,17.6,14.8,22.5,17,13.1,7.3,15,17.1,1005.3,18
绊魂,2016-05-06,16.7,13.9,19.3,15,10.3,4.9,16.4,18.6,999.6,21
绊魂,2016-05-07,14.9,12.7,17.6,14.5,10.3,7.1,10.9,13,1006.1,18.1
绊魂,2016-05-08,16.5,12.7,21.3,11.8,7.9,3.6,10.4,12.8,1006.2,17.3
绊魂,2016-05-09,16.1,14.1,19.2,10.4,5.7,2,14.9,16.9,1002.1,19.5
绊魂,2016-05-10,13.7,12.4,15.7,21.9,17.3,8.3,13,15,996.5,15.7
绊魂,2016-05-11,14.6,12.7,17.9,18.9,15.5,6.9,12.6,14.6,1002.4,20.4
绊魂,2016-05-12,16.4,13,20.1,10.4,7.4,5.4,14.2,16.2,1006,23.4
绊魂,2016-05-13,15.6,13.7,17.7,11.1,7.8,4.4,13.3,15.3,1011.3,20.8
绊魂,2016-05-14,17.5,14.5,22,11.1,6.6,3.9,13.8,15.8,1012.2,23.1
绊魂,2016-05-15,18.9,12.9,23,20.1,15.9,8.3,17.4,20.1,1003.3,22.3
绊魂,2016-05-16,14.6,11.6,19.1,26.8,20.3,8.6,11.1,13.3,1004.8,19.4
绊魂,2016-05-17,16.9,12.5,22.2,13,10.7,3.8,12.4,14.4,1008.5,23.8
绊魂,2016-05-18,18.4,14.4,22.4,6.4,4.7,2.2,13.3,15.3,1009.1,25.8
绊魂,2016-05-19,19.5,14.6,24.3,6.7,5.7,2.3,11.9,14.2,1008.6,25.8
绊魂,2016-05-20,20.3,15.6,23.5,9,7,2.9,13.5,15.7,1007.6,28.1
绊魂,2016-05-21,20.5,17.1,23.6,12.2,7.5,3.1,14.1,16.2,1007.5,27.2
绊魂,2016-05-22,20.8,17.3,22.5,11.3,7.7,3.6,13,15,1006.1,21.4
绊魂,2016-05-23,22.4,20.4,25.5,15.7,10.2,6.9,16.5,18.8,1004,29.3
绊魂,2016-05-24,17.3,15.5,21,14.2,11.2,6.2,16.7,19.1,1000.2,19
绊魂,2016-05-25,18.3,14.6,22.2,7.7,5.2,3,15.8,18,1002.4,23.9
绊魂,2016-05-26,19.3,16.6,23.2,8.9,6.6,2.8,15,17.1,1002.4,24.4
绊魂,2016-05-27,18.1,16.3,21.7,5.3,4.5,2,16,18.2,1003.3,22.8
绊魂,2016-05-28,17.5,15.9,20.1,7.5,5.5,2.8,16.4,18.7,999.8,20.6
绊魂,2016-05-29,16.7,15.7,17.8,9.8,7.6,3.8,16.2,18.4,997.1,18.6
绊魂,2016-05-30,17.5,16,19.8,12.4,9,5.5,15.7,17.9,999.7,21.6
绊魂,2016-05-31,19,15.4,22.4,9.6,6.5,3.8,13.3,15.4,1000.3,22.2
绊魂,2016-06-01,19.5,17.1,24.3,8.9,5.5,3.2,15.1,17.4,998,24.5
绊魂,2016-06-02,19.1,15,23.4,9,6.1,3.3,13.3,15.4,1002.3,26.5
绊魂,2016-06-03,21.8,16.3,26.3,11.7,7.8,4.4,14.9,17.3,1001.8,27.6
绊魂,2016-06-04,18.3,16.3,21.6,15.2,9.6,5.1,16.2,18.5,997.7,20.2
绊魂,2016-06-05,18.8,16.7,21.6,14.7,10.7,5,16.2,18.4,1001.5,20.8
绊魂,2016-06-06,19.8,17.7,22.8,9.9,6.5,3.1,17.8,20.3,1003,24
绊魂,2016-06-07,19.7,18,23.6,8.8,7.2,2.4,18.5,21.3,1002.2,27
绊魂,2016-06-08,19,17.8,21.6,4.7,3.4,1.9,18,20.6,1001.9,23.7
绊魂,2016-06-09,19.8,18.2,24.6,7.5,6.1,2.3,18.1,20.8,1002.9,26.2
绊魂,2016-06-10,21.6,18.3,26.2,10.6,8.3,3.7,18.4,21.2,1003.8,29.6
绊魂,2016-06-11,23.9,21.4,26.4,11.2,7.5,5.5,22,26.5,1001.8,28
绊魂,2016-06-12,21.6,20.1,23.4,7.1,5.5,2.7,21.2,25.1,997.3,23.5
绊魂,2016-06-13,20.5,19,22.8,10.1,7.1,4.8,19,22,994.6,26.5
绊魂,2016-06-14,20.5,18.2,22.8,7.9,6.1,3.7,17.9,20.5,996.1,28.7
绊魂,2016-06-15,22.7,19.2,25.7,13.5,9.4,6.6,20.8,24.6,994.1,26.7
绊魂,2016-06-16,20.7,19.1,24.9,14.1,11.4,6.8,18.9,21.8,994.7,25.7
绊魂,2016-06-17,21,18.7,24.6,7.4,6,3.6,18.7,21.5,1001.8,29.8
绊魂,2016-06-18,22.1,19.1,25,10.9,7.3,5.5,20.8,24.7,1003.2,24.9
绊魂,2016-06-19,22.9,21.5,25.3,8.5,6.2,3.5,22.3,26.9,1000.9,29.3
绊魂,2016-06-20,22.6,21.2,24.7,16,13.4,7.3,22.4,27.1,998,24.4
绊魂,2016-06-21,22.5,20.9,25.4,10.8,7.9,3.4,21.6,25.8,999.1,27.6
绊魂,2016-06-22,22.9,22,24,11.1,10,5.7,22.8,27.8,996.1,24.6
绊魂,2016-06-23,23.4,20.9,28.1,10.8,6.8,4.2,21.9,26.3,997.6,27.8
绊魂,2016-06-24,22.6,20.7,24.4,17.4,13.8,9.3,22,26.5,993.8,24
绊魂,2016-06-25,21,20,23,13.6,11.7,7.1,20.1,23.5,1000.2,23.6
绊魂,2016-06-26,22,20.3,25.1,11.7,9.4,4.4,21,25,1003.2,27.1
绊魂,2016-06-27,18.5,16.6,21,11.2,7.6,2.9,17.9,20.6,1001.8,21
绊魂,2016-06-28,19.8,17.2,22,11.6,8,3.4,19,22.1,1001.9,21
绊魂,2016-06-29,22.3,21.3,24.5,11,7,2.9,22,26.4,1002.9,24.1
绊魂,2016-06-30,23.3,21.2,26.2,11.3,8.5,5.9,22.2,26.8,1003.5,26.4
绊魂,2016-07-01,23.4,22,23.9,16.1,12,8.7,23.2,28.4,999.3,24.1
绊魂,2016-07-02,22.6,21.4,24,18.2,14.3,6.7,22.5,27.3,999.4,23.7
绊魂,2016-07-03,23.3,21.5,24.8,13.5,11,5,23.2,28.4,1000.7,24.5
绊魂,2016-07-04,24.5,22.9,26.5,13.2,9.4,7.4,24.4,30.6,1001.8,26.5
绊魂,2016-07-05,25.5,24.1,27.4,14.5,10.3,8,25.2,32.1,1004.6,26.5
绊魂,2016-07-06,25.4,23.6,28,10.4,7.7,5.1,24.6,31,1007,28.3
绊魂,2016-07-07,26,22.6,30,10.2,7.4,3.8,23.1,28.3,1005.5,28.2
绊魂,2016-07-08,25.2,22.2,27.9,8.8,7,3.1,22.6,27.5,1000.2,28.1
绊魂,2016-07-09,24.1,21.6,27,6.9,5.3,2.2,22.2,26.8,998.2,27.4
绊魂,2016-07-10,23.2,22.3,24.3,8.7,6.2,2.8,21.7,26,996.8,23.6
绊魂,2016-07-11,23.8,21.6,25.8,8.3,5.6,3.3,23.1,28.4,996.1,25.2
绊魂,2016-07-12,25.2,23.1,25.8,17,12.6,6.1,25.1,31.8,994.2,25.3
绊魂,2016-07-13,25.4,24.3,26.8,15.3,13.3,5.2,25.1,31.8,993.8,26.6
绊魂,2016-07-14,24.7,23.1,27.6,10.7,8.6,5.1,22.4,27.2,994.9,27.7
绊魂,2016-07-15,24.6,22,27.6,15.5,10.7,6.2,21.6,25.9,994.4,26.9
绊魂,2016-07-16,25.4,22.9,28.8,15.2,10.9,7.2,23.4,28.9,994.3,28.7
绊魂,2016-07-17,25.2,22.8,29.5,8.5,7.3,4.3,21.9,26.2,1000.7,31.1
绊魂,2016-07-18,24.5,22.2,27.5,7.4,5.1,2.5,21.6,25.9,1001.9,28.9
绊魂,2016-07-19,26.9,23.1,30.6,10.5,6.7,4.4,23.8,29.5,1001.7,29.9
绊魂,2016-07-20,27.1,24.9,30.6,12.9,8.4,6.4,23.4,28.8,1002.3,32.6
绊魂,2016-07-21,27.4,25.2,30.6,12.2,8.2,6.6,24.2,30.3,1001.8,32.4
绊魂,2016-07-22,27.7,25.7,31.1,11.4,7.3,5.1,24.6,30.9,1001.2,33.5
绊魂,2016-07-23,28.1,25.3,31.1,10.8,7.1,5.1,24.7,31.1,1001.3,34.2
绊魂,2016-07-24,28.1,26.3,31,9.4,6,4.2,25.7,33,1002.7,33.7
绊魂,2016-07-25,28.2,25.5,30.9,7.5,5.8,3.9,25.4,32.4,1003,34.1
绊魂,2016-07-26,28.6,25.8,31,8.3,6.4,4,25.9,33.4,1000.5,35.5
绊魂,2016-07-27,28.7,27.3,31.4,10.2,7.8,6.3,26.2,34,998.8,35.1
绊魂,2016-07-28,28.8,27.4,31,8.9,6.8,5.3,26.5,34.5,999.7,33.9
绊魂,2016-07-29,28.9,26.9,31.6,10.1,8,5,26,33.5,1001.7,34.3
绊魂,2016-07-30,28.8,26.7,31.8,9.9,7.5,4.7,24.8,31.3,1003.2,34.4
绊魂,2016-07-31,28.8,26,33,7.8,5.6,3,24.5,30.9,1003.3,35.3
绊魂,2016-08-01,28.7,26.5,31.7,7.4,5.7,2.3,24.2,30.2,1002.1,34.1
绊魂,2016-08-02,27.6,25.8,31.1,11.8,8.8,3.7,24.4,30.6,1000.4,31.3
绊魂,2016-08-03,25.9,23.1,27.6,13.2,10.3,2.6,24.2,30.2,1000.3,27.1
绊魂,2016-08-04,26.8,23.8,31.3,11.7,8.5,4.1,24.1,30.1,999.8,28.8
绊魂,2016-08-05,28.2,25.4,32.1,9.1,6.2,3.5,25.1,32,1000.8,30.6
绊魂,2016-08-06,27.2,25,29.8,8.1,5.7,2.6,24.8,31.4,999.6,30.2
绊魂,2016-08-07,28.6,25.1,31.9,9.9,7.2,3.5,24.9,31.6,999,33.4
绊魂,2016-08-08,28.8,25.4,31.8,7.1,4.7,2.9,24.2,30.2,999.1,34.9
绊魂,2016-08-09,28.5,26.2,32.1,6.6,4.7,2.5,25.1,32,999.4,32
绊魂,2016-08-10,28.7,25.9,32.9,8.7,5.3,2.3,25.5,32.7,1001.3,31.1
绊魂,2016-08-11,29.3,26.2,32.8,7,4.9,2.3,24.6,31,1001.6,36.5
绊魂,2016-08-12,29.8,26.8,34,6.2,4.6,2.4,25.2,32.1,999.9,38.6
绊魂,2016-08-13,30,27,34,8,5.8,2.5,25.2,32.1,998.6,39.1
绊魂,2016-08-14,29.3,27.3,31.6,10.5,7.6,4.4,25.1,31.9,997.3,38.7
绊魂,2016-08-15,29,26.8,32,9.2,7,4,25,31.7,995.1,34.3
绊魂,2016-08-16,28.6,26.8,30.4,10.7,7.9,5.2,23.3,28.7,994.2,37.6
绊魂,2016-08-17,28.1,25.3,32.8,7.5,6.2,3.2,23.6,29.3,995.4,35.8
绊魂,2016-08-18,28,25.8,32,10.5,7.8,3.3,24.3,30.4,996.8,36.8
绊魂,2016-08-19,29.2,26.4,33.2,7.6,4.8,2.6,25.1,32,997.7,40
绊魂,2016-08-20,28.7,25.8,32.5,7.5,5,2.4,24.6,30.9,997.2,39.1
绊魂,2016-08-21,28,24.3,32.4,12.1,8,4.5,23,28.1,996.7,37
绊魂,2016-08-22,28.3,26.5,30.2,10.8,6.9,4.6,24.7,31.2,998,36.6
绊魂,2016-08-23,28.6,25.9,33.3,7.7,6.3,3,24.2,30.3,997.7,39
绊魂,2016-08-24,28.6,25.3,33.4,9.3,6.7,3.1,23.2,28.5,997.4,39.3
绊魂,2016-08-25,28.1,24.8,32.9,9.1,5,3.4,24.3,30.4,997.1,36.8
绊魂,2016-08-26,27.7,25.5,30.6,9.4,6.5,4,22.8,27.7,997.9,34.9
绊魂,2016-08-27,25,21.9,28.4,6.8,5.3,1.2,22,26.4,997.1,27.8
绊魂,2016-08-28,22.5,19.7,24.5,17.6,12.7,7.9,18.9,21.9,993.4,22.6
绊魂,2016-08-29,23.7,22,25.6,21,16.1,12.2,17.2,19.6,994.4,25.4
绊魂,2016-08-30,24.5,22.7,27.4,25.1,19.8,15.2,16.8,19.1,990.7,26.9
绊魂,2016-08-31,25.2,22.8,27.9,22.2,17.2,13.8,19.8,23.3,991.8,31.2
绊魂,2016-09-01,24.4,20.9,28.4,15.2,11.9,7.3,21.9,26.4,995.5,28.8
绊魂,2016-09-02,22.9,21.4,24.6,11.7,9,3.8,22.2,26.8,996.7,24.3
绊魂,2016-09-03,23.8,21.6,25.6,9.6,5.9,2.9,22,26.5,999.5,25.3
绊魂,2016-09-04,25.1,23.5,27,12.4,7.8,5,22.7,27.5,1001.1,26.8
绊魂,2016-09-05,24.5,23.2,27.4,9.2,6.4,3.7,22.6,27.4,1002.1,28
绊魂,2016-09-06,24,23,27,11.7,8.4,4.2,21.2,25.2,1000.7,23.8
绊魂,2016-09-07,23.6,22.7,25.5,17,13.7,5.8,21.1,25.3,998.2,23.6
绊魂,2016-09-08,24.3,22.3,27.5,9.4,7.6,4.9,20.5,24.1,999.9,28.6
绊魂,2016-09-09,23.8,22.4,25.9,12.4,9.9,5.8,20.8,24.5,1002.3,30.2
绊魂,2016-09-10,23.8,20.6,27.7,8.1,5.4,3.4,20.7,24.5,1003.6,28.6
绊魂,2016-09-11,24.3,21.5,27.9,11,6.3,2.4,20.7,24.5,1005.4,28.3
绊魂,2016-09-12,22.5,20.1,25.3,12.1,8.4,4.3,19.5,22.7,1006.8,25.2
绊魂,2016-09-13,24,21.2,28,11.3,7.6,4.4,20.3,23.8,1009,27.3
绊魂,2016-09-14,23.5,20.3,27.7,11.4,8.1,3.2,20.4,24.1,1008.8,23.8
绊魂,2016-09-15,22.8,19.5,28.3,8.1,5.3,3.4,20.2,23.7,1007.5,24.9
绊魂,2016-09-16,24.5,20.4,26.2,12.4,8.8,3.4,21.3,25.6,1004,24.1
绊魂,2016-09-17,24.9,23.4,26.3,17.4,11.9,8,24.5,30.8,998.5,25.8
绊魂,2016-09-18,23.7,22,25.6,8.4,5.2,2.6,22.8,27.8,998.6,25.1
绊魂,2016-09-19,21.3,20.6,22.4,18.4,12.1,7.6,19.2,22.3,998.9,21.7
绊魂,2016-09-20,21.4,18.1,24.8,12.1,7.6,4.3,15.1,17.2,1006,24.1
绊魂,2016-09-21,21.8,18.2,25.2,9.6,6.3,3.9,14.5,16.6,1010.6,24.4
绊魂,2016-09-22,21.1,18.4,23.4,9.7,6.1,4.5,16.5,18.9,1009.1,23.2
绊魂,2016-09-23,21.8,19.4,24.7,8.7,5.8,3.6,18.1,20.8,1008.1,25
绊魂,2016-09-24,22.6,18.8,25.8,8.7,5.4,3.3,19.3,22.5,1007,28.7
绊魂,2016-09-25,23.7,20.3,27.6,8,5.7,2.9,20.4,24.1,1006.8,29.5
绊魂,2016-09-26,25,22.6,28.8,10,6.3,2.7,22.9,28,1006.1,27.7
绊魂,2016-09-27,25.6,24.1,31,9.8,6.4,3,23.5,28.9,1005.7,31.1
绊魂,2016-09-28,22.5,21.2,24.8,14.6,9.2,5.8,22.3,27,1004.3,22.8
绊魂,2016-09-29,22.4,20.9,24.5,11.8,7.6,3.3,21.8,26.1,1005.1,23.7
绊魂,2016-09-30,22.5,20.2,26.8,14.9,9.2,3,21.5,25.6,1004.2,25
绊魂,2016-10-01,23.7,21.6,27.9,7.3,4.6,2.3,22.9,28,1007.3,24.4
绊魂,2016-10-02,25.7,22.7,28.8,13.8,8.2,5.8,24.7,31.2,1005.1,28
绊魂,2016-10-03,25,22.7,29.4,9.8,6.5,4.4,24.1,30.1,1002.1,27.9
绊魂,2016-10-04,24.5,21.8,29.2,22.3,14.3,5.2,22.2,26.8,1000.9,26.4
绊魂,2016-10-05,22.4,20.7,25.8,56.5,49,15.8,20.5,24.2,998.2,25.2
绊魂,2016-10-06,20.8,19.9,22.4,15.9,11.7,6.8,16.3,18.6,1010.6,22.3
绊魂,2016-10-07,22.7,19.8,25.3,11.4,7.6,3,19,22.3,1008.8,22.1
绊魂,2016-10-08,20.6,17,24.5,19.9,14,8.9,18.5,22,1003.6,20.6
绊魂,2016-10-09,16.5,15.6,18.8,20.6,14.4,10,9.4,11.9,1008.4,17.8
绊魂,2016-10-10,17.5,14.7,19.9,12.4,8.1,5,11.9,14,1009.9,18.5
绊魂,2016-10-11,18.5,16.5,20,10.9,7.4,4.8,12.7,14.7,1010.3,17.8
绊魂,2016-10-12,19.1,18.1,21.1,15.2,9.9,6.3,13.5,15.5,1012.1,19.3
绊魂,2016-10-13,19.2,17.7,21.2,10.9,6.9,4.5,14.9,17,1012.9,18.6
绊魂,2016-10-14,20.7,17.4,25.1,12.5,6.9,3.4,15.2,17.3,1014.3,21.3
绊魂,2016-10-15,20.3,17.2,25.2,11,6.4,4.2,13.7,15.8,1014,19.2
绊魂,2016-10-16,21.4,18.8,24,12.5,10.3,4.7,19.9,23.4,1009.5,21.1
绊魂,2016-10-17,20.5,18.8,24.2,12.7,9.9,6.3,18,20.6,1008.9,21.9
绊魂,2016-10-18,19.5,18.1,21.8,9.7,6.4,3.9,16.9,19.3,1010.3,20.9
绊魂,2016-10-19,20.8,18.7,24.4,6.8,4.3,2,17.6,20.1,1009.2,20.6
绊魂,2016-10-20,19.3,17.7,20.7,9.1,5.7,3,16.3,18.5,1009.2,19.5
绊魂,2016-10-21,19.4,18.2,21.1,14.1,9.2,4.3,16.9,19.3,1007.5,19
绊魂,2016-10-22,18.8,17.9,21,11.4,6.8,4.1,18.1,20.8,1002.5,18.9
绊魂,2016-10-23,18.8,15.7,22.4,14.9,9,4.8,15.3,17.5,1003.3,18.7
绊魂,2016-10-24,18.9,15.7,23.2,11.5,7,3.1,14.7,16.7,1007.3,19.5
绊魂,2016-10-25,19,16.9,21.8,15.8,11.7,7.8,16.2,18.5,1005.2,17.9
绊魂,2016-10-26,16.8,14,18.9,15.7,9.7,5.7,12.3,14.5,1009.6,15.8
绊魂,2016-10-27,19.7,15.6,23.5,12.7,9.1,4.8,14.5,16.6,1010.5,18.6
绊魂,2016-10-28,18.4,16.1,22,22.7,17.3,10.2,16.4,19.1,1005.5,18.1
绊魂,2016-10-29,14.1,12.6,16.6,20.5,14.2,10.2,7.5,10.5,1015.4,13.6
绊魂,2016-10-30,13.7,11.6,16.5,15.8,10.6,6.2,5,8.8,1018.5,13.4
绊魂,2016-10-31,14.5,12.3,16.4,17.1,11.7,6.2,9.4,11.9,1016.5,12.9
绊魂,2016-11-01,10.4,9.3,13.5,23.7,16.5,11.3,3.6,7.9,1019.5,10.1
绊魂,2016-11-02,11.2,9.4,12.7,15.8,10,7.9,4.7,8.5,1018.5,11.2
绊魂,2016-11-03,13.8,9.8,16.5,14,10.3,5.8,8.2,10.9,1014.7,13.8
绊魂,2016-11-04,15.2,11.2,18.2,7.9,5.8,3.4,8.5,11.1,1009.7,15.4
绊魂,2016-11-05,17.9,15.6,20.6,9.7,7.3,4.6,12.8,14.8,1007,18.2
绊魂,2016-11-06,17.8,14.9,22.1,8.4,5.8,3.2,13.4,15.5,1012.4,16.4
绊魂,2016-11-07,17.4,13.3,21.7,12.4,8,4.3,11.8,13.9,1013,17.6
绊魂,2016-11-08,12,10.2,17.1,20.8,14.4,11,8,11,1013.8,11.7
绊魂,2016-11-09,9.7,7.9,11.8,21.1,14.3,8.5,2,7.1,1017.3,9.5
绊魂,2016-11-10,12.3,11.6,14.3,19.6,15.1,7.8,8.8,11.4,1010.7,10.9
绊魂,2016-11-11,14.5,11.2,17.6,18.1,14,8.1,7.7,10.5,1012.3,13.3
绊魂,2016-11-12,16,10.4,20.1,10.5,7.8,4.8,11,13.4,1013.9,15.1
绊魂,2016-11-13,17.7,15.3,22.2,9.9,6.5,4.1,15.2,17.3,1011.8,16.1
绊魂,2016-11-14,18.4,16.2,21.3,12.6,9.6,4.4,17.9,20.6,1005.8,19.2
绊魂,2016-11-15,12.9,10.2,16.8,18.4,13.5,10.3,6.7,10.1,1010.7,12.5
绊魂,2016-11-16,13,8.7,16.3,13.1,8.9,4.7,7.2,10.2,1013.1,11.6
绊魂,2016-11-17,15.5,13,18.7,8.4,5.6,3.5,8.8,11.4,1013.4,14.2
绊魂,2016-11-18,18.2,13.7,20.6,16.5,13.7,6.4,15.3,17.7,1007.5,16.7
绊魂,2016-11-19,17.3,16.7,19.1,15,12.2,7.3,16.1,18.3,1006.9,17.8
绊魂,2016-11-20,16.3,14.7,17.3,12.9,8.6,5.2,13.8,15.8,1010.3,15.9
绊魂,2016-11-21,17.4,15.1,20.8,13.1,9.1,4,15.3,17.5,1007.1,17.2
绊魂,2016-11-22,10.9,7.9,16.6,22.8,17,12.2,6.9,10.3,1011.6,11.2
绊魂,2016-11-23,8.1,7.5,8.7,25.9,20.5,12.4,1.5,6.9,1014.8,7.5
