瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),弥历扁柯(∑C),弥绊扁柯(∑C),老碍荐樊(mm),弥措 鉴埃 浅加(m/s),弥措 浅加(m/s),乞闭 浅加(m/s),乞闭 捞浇痢柯档(∑C),弥家 惑措嚼档(%),乞闭 惑措嚼档(%),乞闭 刘扁拘(hPa),乞闭 泅瘤扁拘(hPa),弥历 秦搁扁拘(hPa),乞闭 秦搁扁拘(hPa),老 弥缴脚利汲(cm),乞闭 傈款樊(1/10),乞闭 瘤搁柯档(∑C)
184,力林,2020-06-13,25.6,22.8,29.6,24.3,15.6,7.5,3.1,23.4,72,88.5,28.8,1003.2,1002.8,1005.6,0,10,25.4
184,力林,2020-06-14,24.2,20.8,27.7,26,13.7,7.5,4.5,22.7,73,91.9,27.6,1005,1004.7,1007.4,0,9.9,24.3
184,力林,2020-06-15,22.2,20.2,25,0,5.1,3.5,2.3,19.7,68,86.3,23,1006.4,1007.3,1008.8,0,7.8,25.5
184,力林,2020-06-16,23.3,21.4,26.9,0,5.8,4.4,2.5,20.1,64,82.8,23.5,1004.8,1005.7,1007.2,0,7.1,25.4
184,力林,2020-06-17,20.9,18.3,23.2,30.9,5.4,4.2,1.8,19.3,68,91,22.4,1003.6,1004.7,1006,0,9.9,23.2
184,力林,2020-06-18,19.5,18.3,22.5,49.3,12.8,7.4,4.2,18.8,87,95.8,21.7,998,997.4,1000.4,0,10,20.2
184,力林,2020-06-19,19.9,18.3,22.6,11.4,8.9,4.7,2.1,18.4,76,91.8,21.2,1004.7,1000.5,1007.1,0,7,22.4
184,力林,2020-06-20,21.9,19.7,24.9,0,11.7,6.8,3,18,70,78.9,20.7,1008.2,1009.2,1010.6,0,7,24
184,力林,2020-06-21,21.8,20.1,24.3,0,12.2,7.3,4,18.4,68,81.8,21.1,1005.5,1006.2,1007.9,0,3.8,24.5
184,力林,2020-06-22,22.7,20.1,28.9,0,13.5,7.8,3,19.5,59,82.6,22.6,1006.4,1007.2,1008.8,0,1.8,25.7
184,力林,2020-06-23,25.6,20,30.9,0,10.2,4.4,1.6,18.7,45,66.6,21.7,1005.7,1006,1008,0,4.3,26.1
184,力林,2020-06-24,24.9,21.9,27.1,38.3,7.6,4.2,2,21.5,52,83.1,25.9,1001,1001.5,1003.4,0,9.8,23.4
184,力林,2020-06-25,22.9,21.6,24.9,14.2,8.2,4.9,2.2,21.7,86,93.3,26.1,1001.8,1002.6,1004.2,0,9.6,23.6
184,力林,2020-06-26,22.9,20.7,25.4,0,5.4,3.4,2.2,19.5,63,82,22.7,1005.9,1005.9,1008.3,0,1.9,25.9
184,力林,2020-06-27,23.1,20.8,26.8,0.1,8.1,5.3,2.3,21.2,75,89.9,25.2,1002.5,1002.6,1004.9,0,8.8,24.7
184,力林,2020-06-28,23.5,20.5,28.7,0,6.4,4.8,2.1,19.7,53,80.4,23,1003.5,1003.7,1005.9,0,8.1,25.2
184,力林,2020-06-29,23.2,19.1,27.6,25.1,27.2,12.8,3.2,20.8,67,87.4,24.6,997.3,990.7,999.7,0,9.8,23
184,力林,2020-06-30,21.8,20,24,0,21.9,12.8,7,18.9,73,84.3,21.9,997,992.4,999.4,0,9,23.4
184,力林,2020-07-01,22.6,19.7,26.8,0,8,4.9,2.9,17.4,53,73.1,19.9,1004.4,1003.6,1006.8,0,2.6,25.3
184,力林,2020-07-02,23,20.2,25.2,0,7.8,5,2.2,16.3,53,66.4,18.5,1008.4,1009.2,1010.8,0,7.8,23.5
184,力林,2020-07-03,21.4,19.7,23.8,17,12.2,6.4,3.6,20.3,63,93.8,23.7,1005.7,1005.1,1008.1,0,10,22.3
184,力林,2020-07-04,20.2,19.5,21.7,0.4,9,4.7,2.7,18.8,82,91.6,21.6,1004.9,1005.9,1007.3,0,9.9,22.3
184,力林,2020-07-05,21.2,19.2,24.2,0,4.9,3.6,1.4,19.9,82,93.3,23.3,1002.2,1002.4,1004.6,0,9.5,23.7
184,力林,2020-07-06,22.5,20.7,26.1,15.7,10.2,6.2,1.5,21.6,83,95.5,25.9,999.2,998.2,1001.6,0,9.4,23.6
184,力林,2020-07-07,22.5,21.2,25.5,35.1,6.3,3.8,1.8,21.6,80,95.5,25.8,1002.5,1003,1004.9,0,8.1,23.2
184,力林,2020-07-08,22.3,20,25.6,0,4.9,3.2,1.9,20.5,72,90.3,24.1,1003.4,1004.2,1005.8,0,7.8,26
184,力林,2020-07-09,23.2,20.9,27.6,2,10.1,6.1,2.1,21.7,73,91.9,26,1000.3,1001,1002.7,0,8.4,25
184,力林,2020-07-10,25.6,21.9,29.8,16.4,12.9,7.2,3.3,23.4,71,88.3,28.8,999,998.2,1001.4,0,6.5,27.1
184,力林,2020-07-11,23.3,22.5,25.8,0,7.7,4.4,2.2,21.3,75,88.9,25.4,1005.4,1005.3,1007.8,0,8.6,24.9
184,力林,2020-07-12,24.6,22.6,26.5,4.3,11.2,6.3,2.6,22.6,80,89.4,27.4,1004.8,1004.3,1007.2,0,10,24.8
184,力林,2020-07-13,25.6,22.6,30.6,1.5,17.1,9.7,5.7,23.1,67,86.9,28.5,1000.1,1001.1,1002.5,0,10,25.8
184,力林,2020-07-14,21.6,19.8,23.6,0.5,11.6,6.9,4.8,19.1,75,85.8,22.1,1002.6,1003.2,1005,0,9.9,23.7
184,力林,2020-07-15,21.6,20.2,24.6,0,6.7,4.1,2.8,18.9,72,85,21.8,1004.3,1005.6,1006.7,0,8.1,23.7
184,力林,2020-07-16,22.2,20.2,24.5,0.4,8.8,6.4,2.8,18.8,69,81.3,21.7,1004.9,1005.9,1007.3,0,5.1,24.9
184,力林,2020-07-17,23.1,20.1,25.8,0,8.6,6.1,2.8,17.5,53,71.4,20.1,1006.7,1008.3,1009.1,0,3.8,25.7
184,力林,2020-07-18,24.2,20.7,26.7,0.2,8.7,5.1,1.7,19.5,62,75.4,22.7,1005.5,1006.2,1007.9,0,9.3,23.7
184,力林,2020-07-19,29.1,23,34.3,0,20.3,10.7,3.2,22.8,48,70.8,27.8,1003,1003.8,1005.3,0,7.8,27
184,力林,2020-07-20,26.4,22.8,29.9,1.2,18,12.1,4.2,23.4,69,84.1,28.8,1006.4,1005,1008.8,0,8.9,26.5
184,力林,2020-07-21,24.6,22.6,27.2,4.4,6.9,4.6,1.6,22.6,77,89.4,27.5,1009.6,1010.7,1012,0,9.8,26.6
184,力林,2020-07-22,26.8,23.8,30.4,0,10.4,6.6,2.8,24.1,72,85.8,30,1008,1009.8,1010.4,0,9.8,27
184,力林,2020-07-23,26.5,23.6,30.5,9.2,17.7,10.5,4.3,23.1,57,82.8,28.3,1002.2,1000.6,1004.6,0,9.4,25.5
184,力林,2020-07-24,23,21.3,25.1,2.4,16.6,9.9,6.6,20.1,74,84.3,23.5,997.8,998.4,1000.2,0,9.6,24.5
184,力林,2020-07-25,23.7,21.2,26.6,0,13.3,6.7,4.5,19.7,61,79.5,23,1002.2,1002.1,1004.6,0,5.6,24.9
184,力林,2020-07-26,23.4,20.7,25.5,0,8.6,5.8,2.4,20.1,72,82,23.6,1005.4,1006.5,1007.8,0,4.1,26.1
184,力林,2020-07-27,24.8,22.6,27.9,71.5,8.7,4.5,1.9,23.2,78,91.8,28.6,1004.9,1005.9,1007.3,0,9.9,24.3
184,力林,2020-07-28,28.7,25.1,33.8,2,10.2,5.9,2.7,24.5,55,79.1,30.8,1007.7,1007.7,1010.1,0,7.8,27.9
184,力林,2020-07-29,27.9,25.7,30.9,0.5,7.3,4.9,1.8,25,73,84.6,31.6,1010.4,1011.3,1012.7,0,6.3,28.7
184,力林,2020-07-30,27.8,25.4,31,0,5.9,4.6,1.8,24.7,68,83.8,31.2,1012.3,1013.8,1014.7,0,5.3,28.7
184,力林,2020-07-31,26.9,25.1,29.5,0,7.8,5.5,1.9,24.6,78,87.6,31,1012.3,1013.6,1014.7,0,7,28.9
184,力林,2020-08-01,28.2,25.5,30.7,0,6.3,4.8,1.6,23.3,62,74.9,28.6,1009.8,1010.6,1012.2,0,6.6,29.4
184,力林,2020-08-02,29.3,26.7,34,0,12.5,6,2.2,23.6,49,72.8,29.2,1008.1,1009,1010.5,0,5.5,30.2
184,力林,2020-08-03,28.8,26.7,32.5,0,8.7,5.4,2,23.7,61,74.5,29.3,1008.2,1009.8,1010.5,0,6.4,31.1
184,力林,2020-08-04,30.2,27.1,34.9,0,6.7,4.4,1.9,24.5,54,71.9,30.7,1009.2,1010.4,1011.5,0,5,31.9
184,力林,2020-08-05,30.3,26.4,34.1,9.7,11.1,6.1,2.1,23.6,54,68.8,29.2,1009.3,1010.2,1011.6,0,8,29.7
184,力林,2020-08-06,30.2,27.9,32.7,0,15.3,7.9,4.8,24.3,57,71.1,30.4,1007.3,1008.3,1009.6,0,9,28.3
184,力林,2020-08-07,30.6,27.8,32.7,0,12.9,7.1,4,22.8,53,63.9,27.8,1004.6,1005.5,1006.9,0,9.6,28
184,力林,2020-08-08,30.9,29.7,32.7,0,17.4,9.1,5.4,22.7,52,62.3,27.7,1001.9,1003.4,1004.2,0,8.9,28.3
184,力林,2020-08-09,30.4,28,33.9,0,12.5,7.7,3.9,22.6,47,64.5,27.6,1002.1,1003.5,1004.4,0,6,29.9
184,力林,2020-08-10,29.4,26.6,32.3,4.2,15.6,8.5,3.3,24.4,60,75,30.6,1002.2,1002.5,1004.5,0,8.3,28.1
184,力林,2020-08-11,30.4,27.6,33.6,2,15.3,8.8,4.5,24.5,61,70.9,30.7,1008.3,1007.1,1010.6,0,7.4,29.1
184,力林,2020-08-12,31,28.2,34.5,0,14.6,8.9,3.1,24.6,54,70,31,1010.8,1012.3,1013.1,0,5.3,30.1
184,力林,2020-08-13,31.3,28.2,36.1,0,13.4,7.6,2.9,24.1,47,67.6,30.2,1008.6,1009.1,1010.9,0,2,31.3
184,力林,2020-08-14,32.2,27.6,36.3,0,11.1,6.3,3.5,23.9,47,62.9,29.7,1006.4,1007.6,1008.7,0,2.8,31.8
184,力林,2020-08-15,31.1,27.8,36.3,0,9,5.2,2.3,23.4,34,65.5,29,1008.1,1008.7,1010.4,0,2.1,32.5
184,力林,2020-08-16,29.9,27.5,32.7,0,7,4.7,2.3,24.2,61,72,30.3,1009.9,1011,1012.2,0,1.1,32.6
184,力林,2020-08-17,29.4,27,32.3,0,5.7,4,2.1,24.1,64,73.6,30.1,1011.6,1012.8,1013.9,0,1.6,32.3
184,力林,2020-08-18,29,26.8,30.8,0,5.3,3.9,2.2,22.6,57,69,27.6,1011,1011.8,1013.3,0,1.1,32.3
184,力林,2020-08-19,28.3,26,31.2,0,5.2,3.7,2.1,23.2,63,74.5,28.6,1009.6,1010,1011.9,0,1.8,32.7
184,力林,2020-08-20,28.2,26,31.3,0,5.8,4.1,2,22.9,67,73.4,28,1010.4,1011.8,1012.7,0,1.6,32.7
184,力林,2020-08-21,28,25.4,30.3,0,8.7,6.4,2.8,23.3,61,76.4,28.9,1011.3,1012.5,1013.6,0,0.8,31.1
184,力林,2020-08-22,27.4,24.3,33.3,2.8,11.5,6.6,2.3,23.9,59,82,29.7,1009.3,1009.9,1011.7,0,6,28.9
184,力林,2020-08-23,28.3,24.8,31.2,0,9.7,6.2,2.5,24,67,77.8,29.8,1005.7,1006.2,1008,0,5.1,30.4
184,力林,2020-08-24,30,26.2,35.1,0,7.2,4.3,2,23.6,46,70,29.2,1002.5,1003.5,1004.8,0,3.1,31.7
184,力林,2020-08-25,29.8,27.7,33.6,2.9,13.3,6.9,3.4,25.2,60,76.9,32,999.9,1000.8,1002.2,0,7.9,30.8
184,力林,2020-08-26,28.4,25.4,29.8,114.3,27.3,13.5,6.7,24.3,67,79.1,30.4,993.7,991.8,996,0,9.9,26.2
184,力林,2020-08-27,28.7,27.2,30.8,0.7,13.4,8.2,2.8,25.2,68,81.9,32.1,1000.9,999,1003.2,0,6.1,29.2
184,力林,2020-08-28,28.4,26.4,32.6,2.3,7,4.5,1.7,25.6,61,85.4,32.7,1004.4,1005.6,1006.8,0,7.3,30.2
184,力林,2020-08-29,28.4,26.3,31.3,1.5,5.4,4.1,1.8,25.2,71,83.3,32,1006.9,1007.5,1009.3,0,6.1,30.4
184,力林,2020-08-30,28.1,26.1,31.4,0,6.6,4.2,1.9,25,70,84.1,31.8,1008.7,1010.1,1011.1,0,4,30.2
184,力林,2020-08-31,27.8,25.9,31.6,0,11.7,6.7,3.1,24.3,68,82.1,30.5,1008.5,1009.8,1010.9,0,5.6,29.6
184,力林,2020-09-01,26.8,25.6,28,0.1,10.9,5.9,3.8,24.9,86,89.6,31.5,1004.4,1004.2,1006.8,0,10,27.6
184,力林,2020-09-02,25.1,23.1,27.9,183.6,37.1,25,11.6,24.4,90,96,30.5,989.4,978.6,991.7,0,10,25.5
184,力林,2020-09-03,25.2,23.2,28.7,0.3,20.2,11.8,5.7,20.4,63,75.5,24,1003.6,987,1005.9,0,3.9,25.8
184,力林,2020-09-04,25.5,21.5,29.3,0,5.7,4.3,2.3,17.8,42,63.4,20.8,1011.1,1012.5,1013.5,0,2.5,25.5
184,力林,2020-09-05,21.9,19.3,24.1,7.6,9.2,5.1,2.4,17.4,48,76.9,20,1010.1,1010.3,1012.5,0,9.9,23.5
184,力林,2020-09-06,21.7,20.5,23.1,71.7,17.1,9.3,3.9,20.7,90,94.4,24.4,1000.5,992.3,1002.9,0,10,22.4
184,力林,2020-09-07,23,20.7,26.3,79.8,21.8,13,6.9,20.4,73,86.1,24,996.8,987.7,999.2,0,5.8,22.7
184,力林,2020-09-08,26.7,22.4,30.7,0,9.5,5.3,2.8,19.9,52,66.9,23.4,1010.1,1008.8,1012.5,0,0.6,25.6
184,力林,2020-09-09,25.8,24.4,28.7,0,8.1,5.3,2.5,19.3,45,68.3,22.5,1008.9,1009,1011.3,0,5.6,26.2
184,力林,2020-09-10,24.5,22.7,26.6,0,9,5.3,2.1,17.9,49,67.3,20.7,1007.1,1008.1,1009.5,0,7.9,27.1
184,力林,2020-09-11,23.5,21.8,26,0.6,8.6,5,2,18.7,48,75.9,21.9,1009.1,1009.8,1011.5,0,9.6,23
184,力林,2020-09-12,23.1,21.6,25.5,0,6.8,5,1.6,19.6,72,81.1,22.8,1010.7,1010.8,1013.1,0,7.8,24.5
184,力林,2020-09-13,23,21.7,26.1,5.2,8.8,4.4,1.9,20.3,72,85.4,23.9,1012.3,1013.6,1014.7,0,8.6,24
184,力林,2020-09-14,23.3,21.8,25.9,0,8.4,6.5,2.6,20.2,69,83.3,23.7,1012,1013.4,1014.4,0,7.5,25.1
184,力林,2020-09-15,23.7,21,25.8,0,8.5,5.5,1.9,20.1,70,80.4,23.5,1010.2,1010.9,1012.6,0,8.5,23.4
184,力林,2020-09-16,23.5,21.5,28.3,6.1,6.1,3.5,1.7,21.7,69,90.3,26,1007.3,1007.6,1009.7,0,9.1,25.5
184,力林,2020-09-17,21.2,19.3,23.3,26.6,5.7,3.1,1.6,19.6,84,91.4,22.9,1009.2,1010.1,1011.6,0,10,21.9
184,力林,2020-09-18,20.5,17.8,23.1,11.3,8.4,4.7,1.9,16.1,55,76.9,18.4,1013.6,1012.6,1016,0,8.1,20.2
184,力林,2020-09-19,21.2,16.8,25.6,0,5.2,4,2.1,12.5,47,57.9,14.7,1015.5,1016.8,1017.9,0,5.6,20.6
184,力林,2020-09-20,22,18,25.6,0,5.1,3.4,2,12.7,31,57.4,14.7,1015.4,1016.6,1017.8,0,0.8,23.7
184,力林,2020-09-21,21.5,18.5,25,0,7.2,5.3,2.4,14.1,52,63.1,16.1,1014.8,1015.5,1017.2,0,4.4,23.9
184,力林,2020-09-22,21.2,19.5,22.6,0,12.4,7.3,3.6,15.2,62,69,17.3,1013.6,1014.9,1016,0,7.9,20.9
184,力林,2020-09-23,20.9,20.1,21.7,1.3,10.3,4.6,2.8,16.9,60,78,19.2,1012.3,1014,1014.7,0,9.3,20.6
184,力林,2020-09-24,21.3,20.6,22.7,0,9.4,5.1,2.7,17.4,69,78.5,19.8,1010.2,1011.6,1012.6,0,10,20.7
184,力林,2020-09-25,22.5,20.1,25.3,0.6,5.8,3.8,1.7,17,59,71.9,19.4,1009.1,1010.3,1011.5,0,6.1,24.9
184,力林,2020-09-26,22.1,20.5,25.8,0,8.6,5.7,2.4,16.2,54,69.9,18.4,1011.9,1011.9,1014.3,0,4,24.3
184,力林,2020-09-27,21.4,19,24.1,5.7,11.4,6.6,2.9,16.1,58,72.5,18.3,1014.9,1016.1,1017.3,0,4.9,22.7
184,力林,2020-09-28,20.9,19.3,23.4,0,10.9,6.1,2.9,14.5,54,67,16.5,1013.7,1014.5,1016.1,0,3.4,22.6
184,力林,2020-09-29,21.2,18.1,23.8,0,5.6,4.1,2,13.3,49,61.6,15.4,1009,1009.2,1011.4,0,4.8,24.1
184,力林,2020-09-30,21.9,19,24.9,0,7.8,4.4,2.3,16.1,49,70.6,18.3,1008.3,1009.1,1010.7,0,4.8,25.7
184,力林,2020-10-01,21.5,19.4,24.1,0,6.6,4.1,2.1,16.8,65,74.6,19.1,1011.6,1012.1,1014,0,5.4,23.6
184,力林,2020-10-02,21.7,17.6,25.5,0,4.9,3.4,1.9,14.1,48,62.3,16.1,1013.5,1014.9,1015.9,0,3.8,24.9
184,力林,2020-10-03,22.5,20.2,25.3,0,5.7,4,1.7,16.4,58,68.9,18.7,1013.3,1014.1,1015.7,0,8.4,26
184,力林,2020-10-04,21.4,19.5,23.5,1.1,14.8,8,2.3,17,67,76.5,19.4,1011,1011.1,1013.4,0,10,21.6
184,力林,2020-10-05,18.4,16.8,21.1,0,13,8.2,4.9,8.6,36,53.4,11.2,1016.1,1014.7,1018.5,0,5.1,22
184,力林,2020-10-06,18.6,17.1,20.4,0,8.9,5.6,2.9,8.7,37,53.5,11.3,1018.6,1019.4,1021.1,0,2.8,23.4
184,力林,2020-10-07,20.5,17,22.2,0,11.3,6.4,3.7,11.9,49,58.4,14,1020,1021.6,1022.5,0,5.6,22.7
184,力林,2020-10-08,20.3,19.1,22.5,0,16.3,8.8,5.6,12,48,59.4,14.1,1019.8,1020.9,1022.2,0,5.6,22
184,力林,2020-10-09,20.1,18.6,21.5,0,14.5,7,5,11.9,51,59.3,13.9,1017.8,1018.8,1020.2,0,7.9,21
184,力林,2020-10-10,20.3,18.9,22.4,0,9.1,6.3,2.2,13.3,53,64.6,15.3,1015.6,1016.1,1018,0,7.1,21.5
184,力林,2020-10-11,20.4,18.9,23.3,0,9.2,5.8,2.1,13.8,55,66.4,15.8,1013.2,1014,1015.6,0,6.1,23.9
184,力林,2020-10-12,20.4,18,23.5,0,8.5,4.7,2.8,14,51,67.1,16,1014,1014.9,1016.4,0,4.1,23.9
184,力林,2020-10-13,18.4,16.1,21,0,7.9,4.9,3,9,46,54.9,11.5,1018.2,1018.2,1020.6,0,4.1,21.4
184,力林,2020-10-14,19.1,15.7,21.7,0,11.4,7.6,3.3,7.8,30,48.8,10.7,1021.4,1021.5,1023.8,0,2,21.2
184,力林,2020-10-15,17.9,15.6,20.3,0,8.8,5.5,2.3,5.2,32,43.6,8.9,1021.7,1022.7,1024.2,0,6.4,20.9
184,力林,2020-10-16,17.2,14.4,20,4,10.5,6.1,2.3,10,39,63.3,12.3,1020.1,1021.2,1022.6,0,9.5,17
184,力林,2020-10-17,17.5,13.7,20.7,0,6.4,3.9,2,7.9,33,54.9,10.8,1020.5,1021.7,1022.9,0,3.4,18.3
184,力林,2020-10-18,17.7,15.6,20.9,0,6.5,4,1.9,10.3,50,62.5,12.6,1020.6,1021.7,1023.1,0,6,18.7
184,力林,2020-10-19,17.7,14.2,21.1,0,7.7,5.9,2.3,9.7,48,59.8,12,1021.5,1022.4,1024,0,3.5,18.5
184,力林,2020-10-20,18.7,15.6,22.2,0,11.8,6.4,2.8,12.2,52,66,14.2,1021.9,1022.7,1024.4,0,3.1,18
184,力林,2020-10-21,18.3,16.3,22.2,46.4,11.6,8.3,2.7,13.8,52,77,16,1015.6,1015.7,1018,0,9.6,17.4
184,力林,2020-10-22,17.5,15.4,20.5,2.2,13.7,8.3,3,11.7,49,69.8,14,1012.4,1013,1014.9,0,9.1,16.4
184,力林,2020-10-23,15.2,14.3,16.7,0,18.5,8.2,5.9,5.2,44,51.5,8.9,1014.5,1015.3,1017,0,6.9,13.8
184,力林,2020-10-24,15.4,14,17.6,0,13.8,8.5,4.6,6.4,46,55.4,9.6,1018.4,1018.1,1020.9,0,4.5,15.3
184,力林,2020-10-25,16.3,13.2,19.9,0,6.4,3.9,2.3,8.7,50,61.1,11.3,1019,1019.9,1021.5,0,5.6,16.2
184,力林,2020-10-26,15.6,12.1,20.8,0,5.3,3.4,1.9,8.6,48,63.6,11.2,1017.8,1018.9,1020.2,0,2,15.5
184,力林,2020-10-27,16.5,12.5,20.3,0,5.4,3.8,2.1,9.9,51,65.9,12.2,1018.5,1019.4,1021,0,4.9,16.8
184,力林,2020-10-28,17.4,15.5,20,0,6.1,3.4,1.7,11.1,51,67.3,13.3,1020.6,1022,1023.1,0,8.5,17.4
184,力林,2020-10-29,15.8,12.8,18.7,0,7,4.2,2.6,5.5,34,51.6,9.1,1021.2,1022.2,1023.7,0,3.4,14.9
184,力林,2020-10-30,16.1,13.7,18.5,0,6.6,3.8,2.2,6.2,39,52.8,9.5,1021.9,1022.8,1024.4,0,2.8,15.1
184,力林,2020-10-31,16.5,14.3,19.6,0,10.7,5.9,2.6,8.2,45,58.4,10.9,1022.1,1022.8,1024.6,0,1.9,15.5
184,力林,2020-11-01,18.1,13.7,22.3,1,8.5,4.2,2.1,11.4,43,66.3,13.7,1018.7,1019.3,1021.1,0,7,18.3
184,力林,2020-11-02,15.7,12.8,18.5,5.4,6.3,3.7,1.8,10.2,44,70.9,12.6,1018.1,1019.2,1020.6,0,5.6,15.6
184,力林,2020-11-03,13.1,11.8,16,0,15.8,8.6,4.9,4.1,41,55,8.3,1019.9,1020.1,1022.4,0,5.3,11.3
184,力林,2020-11-04,12,9.2,15.1,0,11.6,6.4,3.1,2.9,46,54.1,7.5,1023.1,1024.3,1025.6,0,3.5,11.4
184,力林,2020-11-05,14,8.2,17.9,0,8.2,5.5,2.4,5.9,43,58.9,9.4,1023.6,1024.7,1026.1,0,6.3,12
184,力林,2020-11-06,17.8,13.8,21.7,0,4.2,2.6,1.3,12.1,49,71.1,14.8,1018.9,1019.4,1021.4,0,7.5,16.2
184,力林,2020-11-07,17.6,14.5,21,0,6.5,3.9,1.6,13.5,54,77.9,15.7,1017.4,1018.3,1019.9,0,5.8,17.6
184,力林,2020-11-08,14.6,11.5,19.2,0,12.5,6.6,3.8,5.6,37,55.5,9.2,1021.6,1021.7,1024.1,0,2,13.3
184,力林,2020-11-09,12,10.1,14.5,0,11.3,5.8,3.2,1.1,31,48.3,6.7,1024.1,1025.2,1026.6,0,1.5,12.1
184,力林,2020-11-10,13,9.2,17.2,0,8,4.9,2.5,4.3,41,55.9,8.4,1026,1027,1028.5,0,1.9,11.9
184,力林,2020-11-11,12.4,8.6,15.9,0,6.8,4.4,2.1,4.9,49,60.5,8.7,1028.8,1029.7,1031.3,0,0,10.9
184,力林,2020-11-12,14.4,11.6,17.9,0,8.7,5.6,2.4,8.8,58,69.5,11.3,1027.2,1028.1,1029.7,0,1.6,12.5
184,力林,2020-11-13,14.4,10.6,18.7,0,5.2,3.2,1.9,6.4,40,60.3,9.6,1025.5,1026.5,1028,0,0,12.2
184,力林,2020-11-14,15.8,12,19.4,0,10.3,6,2.5,9.8,37,69,12.3,1025.6,1027.4,1028.1,0,2.5,14.3
184,力林,2020-11-15,16.6,13.3,19.7,0,7.4,4.8,2.2,11.4,60,72,13.5,1024.2,1025.7,1026.7,0,5.6,15.6
184,力林,2020-11-16,16.8,14.5,19.4,1.4,6.7,4,1.8,13.8,68,83.3,15.8,1022.1,1023,1024.6,0,8.9,16.8
184,力林,2020-11-17,21,16.3,26.7,0,6.6,3.8,1.7,15.2,51,70.6,17.4,1019.8,1020.9,1022.2,0,2.4,18
184,力林,2020-11-18,22.4,18.5,25.9,0,12.3,5.7,2.4,16.1,53,68.3,18.4,1013.5,1011.9,1015.9,0,7.1,18.7
184,力林,2020-11-19,20.4,15.6,25.8,12.2,17.2,9.9,4.6,16.1,52,78,18.7,1009.2,1008.6,1011.6,0,9,18.3
184,力林,2020-11-20,12.9,10.9,15.6,0,11.4,6.3,4,7.2,61,68.5,10.2,1017.2,1014.8,1019.7,0,9.4,12.4
184,力林,2020-11-21,13.7,8.7,16.4,0,10.8,6.1,2.5,9.3,66,75,11.9,1019.1,1020,1021.6,0,6.8,13
184,力林,2020-11-22,13.2,11.3,15.6,4.2,13.4,8,3.6,9.8,63,80.4,12.3,1020,1018.7,1022.5,0,9.9,12.7
184,力林,2020-11-23,10,9.2,11.2,0,12.8,7.6,4,2.8,54,61.3,7.5,1024.9,1025.9,1027.5,0,9.3,9.3
184,力林,2020-11-24,10.5,8.7,12.9,0,8.6,4.6,2.5,-0.2,28,48.6,6.1,1025,1026.3,1027.6,0,4.5,8.9
184,力林,2020-11-25,12.1,9.6,14.7,0,6.6,3.7,2.3,3.2,45,54.8,7.7,1024.2,1025.2,1026.7,0,4.3,9.9
184,力林,2020-11-26,11.8,9.4,14.1,3.8,7.4,3.9,2,5.1,52,64,8.8,1023.6,1024.3,1026.1,0,9.6,11.4
184,力林,2020-11-27,11,9.1,12.9,0,15.1,9.1,4.5,3.9,50,62.1,8.2,1024.8,1025.6,1027.3,0,9.8,9.6
184,力林,2020-11-28,8.6,7.9,9.4,0,14.4,7.6,4.9,0.6,49,57.3,6.4,1026.5,1028,1029.1,0,9.4,7.7
184,力林,2020-11-29,9.2,7.6,12,0,11.1,6.1,3.8,2.6,56,63.4,7.3,1027.1,1028,1029.7,0,8.6,8.3
184,力林,2020-11-30,8.7,7.8,10.1,0.2,11.4,6,3.7,1.4,54,60.6,6.8,1031.4,1031.8,1034,0,8,8.3
184,力林,2020-12-01,7.8,6.1,10.3,0,10.3,6.2,2.7,-1.5,41,52.1,5.5,1030.3,1030.4,1032.9,0,2.5,7
184,力林,2020-12-02,9.3,6,12.4,0,8.4,4.8,2.4,0.7,40,55.5,6.5,1026,1027.1,1028.6,0,3.9,8.1
184,力林,2020-12-03,8.2,5.8,10.5,0,11.9,7.2,3.3,0.5,47,58.5,6.4,1027,1027.7,1029.6,0,5.6,6.7
184,力林,2020-12-04,7.8,6.8,9.4,0,11.2,7.1,3.9,-0.1,50,57.5,6.1,1027.5,1028.8,1030.1,0,6.5,7.9
184,力林,2020-12-05,8.8,6,12.3,0,7,4.2,1.9,0.6,44,56.6,6.4,1027.5,1028.8,1030.1,0,5.6,8.3
184,力林,2020-12-06,8.3,5.3,11.7,0,5.6,3.4,1.9,0.8,49,59.5,6.5,1026.2,1027.2,1028.8,0,0.6,7.4
184,力林,2020-12-07,10.1,6.3,13.1,0,9.4,5.4,2.3,2.7,49,60.4,7.5,1025.5,1026.3,1028,0,7.8,9.4
184,力林,2020-12-08,8.2,6.8,10.3,0,11.2,6.9,3,1.5,55,63,6.8,1025.8,1027,1028.4,0,5.9,8.6
184,力林,2020-12-09,7.7,4.2,10.6,0,6.5,4,1.9,0.9,53,62.4,6.6,1022.9,1023.4,1025.5,0,2.6,7.5
184,力林,2020-12-10,10.3,7.6,12.4,0,5.8,3.7,1.6,1.3,29,55,6.8,1020.1,1020.8,1022.6,0,8.8,9.7
184,力林,2020-12-11,11.1,8.9,12.5,0,3.6,2.3,1.2,5.2,58,67.8,8.9,1017.4,1017.9,1019.9,0,9.3,9.8
184,力林,2020-12-12,9.7,6.5,11.5,0,10.3,6.7,3,0.9,39,55,6.7,1016.7,1018.1,1019.3,0,5.5,9.2
